imageid,label
24_7_2022_183_signer_frame_75.jpg,r
video_66_49_signer_frame_100.jpg,r
24_7_2022_213_signer_frame_237.jpg,r
video_22_211_signer_frame_45.jpg,r
video_4_67_signer_frame_132.jpg,r
video_69_56_signer_frame_53.jpg,r
24_7_2022_58_signer_frame_216.jpg,r
30_10_2022_141_signer_frame_100.jpg,r
16_10_2022_113_signer_frame_37.jpg,r
video_85_115_signer_frame_45.jpg,r
30_10_2022_173_signer_frame_103.jpg,r
video_60_135_signer_frame_48.jpg,r
video_60_135_signer_frame_49.jpg,r
video_42_16_signer_frame_74.jpg,r
video_74_86_signer_frame_50.jpg,r
30_10_2022_173_signer_frame_102.jpg,r
video_85_115_signer_frame_44.jpg,r
13_11_2022_68_signer_frame_358.jpg,r
13_11_2022_113_signer_frame_415.jpg,r
16_10_2022_128_signer_frame_366.jpg,r
16_10_2022_113_signer_frame_36.jpg,r
30_10_2022_141_signer_frame_101.jpg,r
video_52_51_signer_frame_81.jpg,r
24_7_2022_58_signer_frame_217.jpg,r
24_7_2022_213_signer_frame_236.jpg,r
video_22_211_signer_frame_44.jpg,r
video_83_83_signer_frame_40.jpg,r
video_66_49_signer_frame_101.jpg,r
24_7_2022_183_signer_frame_74.jpg,r
video_61_168_signer_frame_57.jpg,r
video_83_83_signer_frame_56.jpg,r
video_61_71_signer_frame_72.jpg,r
video_4_67_signer_frame_131.jpg,r
video_22_211_signer_frame_46.jpg,r
24_7_2022_213_signer_frame_234.jpg,r
24_7_2022_58_signer_frame_215.jpg,r
video_69_152_signer_frame_64.jpg,r
video_34_88_signer_frame_24.jpg,r
video_42_85_signer_frame_85.jpg,r
13_11_2022_113_signer_frame_417.jpg,r
30_10_2022_141_signer_frame_103.jpg,r
video_70_89_signer_frame_30.jpg,r
13_11_2022_172_signer_frame_160.jpg,r
30_10_2022_173_signer_frame_100.jpg,r
video_30_56_signer_frame_28.jpg,r
video_55_94_signer_frame_89.jpg,r
video_60_133_signer_frame_119.jpg,r
30_10_2022_141_signer_frame_99.jpg,r
video_74_86_signer_frame_47.jpg,r
video_60_133_signer_frame_118.jpg,r
